Wall time,Step,Value
1520837170.271565,3,0.5215920209884644
1520837171.404418,5,0.41903674602508545
1520837171.870234,8,0.364433228969574
1520837172.01704,9,0.3937835097312927
1520837173.361877,12,0.31384915113449097
1520837174.949777,17,0.2600369155406952
1520837175.240571,19,0.21383832395076752
1520837176.494516,21,0.21805685758590698
1520837176.947222,24,0.18444494903087616
1520837178.062462,27,0.1622397005558014
1520837178.392158,29,0.159458726644516
1520837181.083492,36,0.1272619366645813
1520837181.235324,37,0.125005304813385
1520837181.383426,38,0.12461823970079422
1520837182.509411,40,0.11483997106552124
1520837182.66054,41,0.1114320307970047
1520837182.809603,42,0.1184840127825737
1520837184.135043,45,0.10012581199407578
1520837184.285892,46,0.09669150412082672
1520837184.747828,49,0.0896027535200119
1520837185.713404,51,0.09830621629953384
1520837186.015704,53,0.08427077531814575
1520837186.166107,54,0.08224217593669891
1520837187.429847,56,0.08268994092941284
1520837187.581079,57,0.0757630467414856
1520837187.893375,59,0.07462970912456512
1520837191.834574,70,0.061863772571086884
1520837195.082017,81,0.04872845113277435
1520837195.236789,82,0.0544784776866436
1520837195.385075,83,0.048284098505973816
1520837196.838785,87,0.04467318579554558
1520837198.126273,90,0.04701767861843109
1520837198.277299,91,0.04362305998802185
1520837199.758783,95,0.04265139251947403
1520837200.211389,98,0.03779194876551628
1520837201.556574,101,0.03795398771762848
1520837202.984709,105,0.0333792045712471
1520837203.134308,106,0.03448847681283951
1520837203.283659,107,0.038729459047317505
1520837203.434423,108,0.03190966695547104
1520837205.018647,114,0.032065387815237045
1520837206.038171,116,0.029019435867667198
1520837209.279633,126,0.031930405646562576
1520837209.745102,129,0.024714550003409386
1520837211.254474,132,0.024617362767457962
1520837211.410243,133,0.02879115380346775
1520837212.405061,135,0.02296058088541031
1520837212.99833,139,0.02621910534799099
1520837214.009123,140,0.046508125960826874
1520837214.307734,142,0.02624690905213356
1520837215.933891,147,0.030464353039860725
1520837218.677162,155,0.02236732840538025
1520837219.282236,159,0.029308302327990532
1520837220.128591,160,0.020662110298871994
1520837220.277627,161,0.023957211524248123
1520837221.88691,166,0.06598122417926788
1520837223.600137,170,0.018344150856137276
1520837224.201194,174,0.04970497637987137
1520837225.297285,175,0.016753122210502625
1520837226.83285,181,0.01611342653632164
1520837227.299863,184,0.019047776237130165
