Wall time,Step,Value
1520837170.271565,3,0.17823639512062073
1520837171.404418,5,0.3837471902370453
1520837171.870234,8,0.3694874942302704
1520837172.01704,9,0.29705339670181274
1520837173.361877,12,0.49740442633628845
1520837174.949777,17,0.6309341788291931
1520837175.240571,19,0.4112149477005005
1520837176.494516,21,0.5805570483207703
1520837176.947222,24,0.2983138859272003
1520837178.062462,27,0.7191358208656311
1520837178.392158,29,0.6467576622962952
1520837181.083492,36,0.6909871101379395
1520837181.235324,37,0.7241379022598267
1520837181.383426,38,0.6596385836601257
1520837182.509411,40,0.6783919334411621
1520837182.66054,41,0.5235602259635925
1520837182.809603,42,0.4930817484855652
1520837184.135043,45,0.7673267126083374
1520837184.285892,46,0.7272727489471436
1520837184.747828,49,0.6433566212654114
1520837185.713404,51,0.7452948689460754
1520837186.015704,53,0.5297619104385376
1520837186.166107,54,0.8180484175682068
1520837187.429847,56,0.6233611702919006
1520837187.581079,57,0.8563648462295532
1520837187.893375,59,0.6400996446609497
1520837191.834574,70,0.8343108296394348
1520837195.082017,81,0.8028985261917114
1520837195.236789,82,0.7858461737632751
1520837195.385075,83,0.8079876899719238
1520837196.838785,87,0.7896551489830017
1520837198.126273,90,0.6577267050743103
1520837198.277299,91,0.5468926429748535
1520837199.758783,95,0.8558317422866821
1520837200.211389,98,0.7246376872062683
1520837201.556574,101,0.692307710647583
1520837202.984709,105,0.8496993780136108
1520837203.134308,106,0.8529194593429565
1520837203.283659,107,0.843649685382843
1520837203.434423,108,0.8226600885391235
1520837205.018647,114,0.5749778151512146
1520837206.038171,116,0.6917647123336792
1520837209.279633,126,0.4422658085823059
1520837209.745102,129,0.8038834929466248
1520837211.254474,132,0.7198177576065063
1520837211.410243,133,0.8821292519569397
1520837212.405061,135,0.7477477192878723
1520837212.99833,139,0.4385185241699219
1520837214.009123,140,0.6782519817352295
1520837214.307734,142,0.7708138227462769
1520837215.933891,147,0.7252747416496277
1520837218.677162,155,0.5922330021858215
1520837219.282236,159,0.518750011920929
1520837220.128591,160,0.8292682766914368
1520837220.277627,161,0.8426692485809326
1520837221.88691,166,0.6930826902389526
1520837223.600137,170,0.6691176295280457
1520837224.201194,174,0.7504655718803406
1520837225.297285,175,0.7352941036224365
1520837226.83285,181,0.7749999761581421
1520837227.299863,184,0.8011987805366516
1520837228.243654,185,0.7533577680587769
1520837228.394627,186,0.6478873491287231
1520837228.544501,187,0.7543858885765076
1520837228.697977,188,0.7797311544418335
1520837230.156896,193,0.8571428656578064
1520837230.307412,194,0.8295206427574158
1520837231.720929,198,0.48376622796058655
1520837232.786717,200,0.7364130616188049
1520837232.938918,201,0.8052179217338562
1520837234.349408,205,0.3607427179813385
1520837234.65003,207,0.8431482911109924
1520837236.001441,210,0.5937260985374451
1520837237.491145,215,0.7177280783653259
1520837238.116211,219,0.7100439071655273
1520837239.246051,220,0.8333333134651184
1520837239.545806,222,0.6705276966094971
1520837239.691508,223,0.7867411375045776
1520837239.841416,224,0.5941736102104187
