Wall time,Step,Value
1520837170.271565,3,0.95989990234375
1520837171.404418,5,0.9895858764648438
1520837171.870234,8,0.9757843017578125
1520837172.01704,9,0.9506759643554688
1520837173.361877,12,0.9837493896484375
1520837174.949777,17,0.9816131591796875
1520837175.240571,19,0.9966354370117188
1520837176.494516,21,0.98828125
1520837176.947222,24,0.9958724975585938
1520837178.062462,27,0.9986114501953125
1520837178.392158,29,0.9968414306640625
1520837181.083492,36,0.9989013671875
1520837181.235324,37,0.998291015625
1520837181.383426,38,0.996551513671875
1520837182.509411,40,0.9990234375
1520837182.66054,41,0.9986114501953125
1520837182.809603,42,0.9938507080078125
1520837184.135043,45,0.9992828369140625
1520837184.285892,46,0.9989242553710938
1520837184.747828,49,0.998443603515625
1520837185.713404,51,0.993804931640625
1520837186.015704,53,0.997589111328125
1520837186.166107,54,0.9962158203125
1520837187.429847,56,0.99517822265625
1520837187.581079,57,0.9983901977539062
1520837187.893375,59,0.9955902099609375
1520837191.834574,70,0.9982757568359375
1520837195.082017,81,0.99896240234375
1520837195.236789,82,0.99468994140625
1520837195.385075,83,0.9990463256835938
1520837196.838785,87,0.9990692138671875
1520837198.126273,90,0.99591064453125
1520837198.277299,91,0.9969406127929688
1520837199.758783,95,0.9971237182617188
1520837200.211389,98,0.9991302490234375
1520837201.556574,101,0.9974365234375
1520837202.984709,105,0.9994277954101562
1520837203.134308,106,0.9984817504882812
1520837203.283659,107,0.9973983764648438
1520837203.434423,108,0.99945068359375
1520837205.018647,114,0.9963455200195312
1520837206.038171,116,0.9990005493164062
1520837209.279633,126,0.99609375
1520837209.745102,129,0.9992294311523438
1520837211.254474,132,0.9990615844726562
1520837211.410243,133,0.997161865234375
1520837212.405061,135,0.9991455078125
1520837212.99833,139,0.9971084594726562
1520837214.009123,140,0.9807891845703125
1520837214.307734,142,0.9981307983398438
1520837215.933891,147,0.9959945678710938
1520837218.677162,155,0.99871826171875
1520837219.282236,159,0.9906005859375
1520837220.128591,160,0.9995193481445312
1520837220.277627,161,0.9975357055664062
1520837221.88691,166,0.9723434448242188
1520837223.600137,170,0.9993133544921875
1520837224.201194,174,0.983642578125
1520837225.297285,175,0.9993133544921875
1520837226.83285,181,0.9993133544921875
1520837227.299863,184,0.9984817504882812
1520837228.243654,185,0.99383544921875
1520837228.394627,186,0.999237060546875
1520837228.544501,187,0.99957275390625
1520837228.697977,188,0.9983749389648438
1520837230.156896,193,0.9996337890625
1520837230.307412,194,0.9886856079101562
1520837231.720929,198,0.9975738525390625
1520837232.786717,200,0.9985198974609375
1520837232.938918,201,0.9899749755859375
1520837234.349408,205,0.9981613159179688
1520837234.65003,207,0.9765701293945312
1520837236.001441,210,0.9959487915039062
1520837237.491145,215,0.99749755859375
1520837238.116211,219,0.965728759765625
1520837239.246051,220,0.9994659423828125
1520837239.545806,222,0.99609375
1520837239.691508,223,0.9863052368164062
1520837239.841416,224,0.9892654418945312
1520837241.024543,227,0.9965972900390625
1520837241.325488,229,0.9991989135742188
1520837243.911162,235,0.9982452392578125
1520837244.061052,236,0.9981155395507812
1520837244.21188,237,0.99835205078125
1520837244.362945,238,0.9970016479492188
1520837245.692521,241,0.9980926513671875
1520837245.844523,242,0.9995803833007812
1520837247.097154,245,0.9903030395507812
1520837247.403214,247,0.9939956665039062
1520837252.168397,260,0.998687744140625
1520837252.465603,262,0.9993743896484375
1520837252.767648,264,0.9765853881835938
1520837256.020066,274,0.9960556030273438
1520837256.973317,275,0.9987869262695312
1520837257.265203,277,0.9969635009765625
1520837257.411387,278,0.9979400634765625
1520837258.66896,280,0.9994735717773438
1520837258.8212,281,0.999542236328125
1520837260.176634,285,0.992462158203125
1520837260.521204,287,0.9995574951171875
1520837260.673379,288,0.9991226196289062
1520837262.111977,292,0.9995574951171875
1520837263.344746,295,0.9992218017578125
1520837263.496933,296,0.9991302490234375
1520837263.646422,297,0.9951705932617188
1520837263.795629,298,0.9996566772460938
1520837263.942951,299,0.9995193481445312
1520837264.928203,300,0.9982528686523438
1520837265.229019,302,0.9869613647460938
1520837268.068479,310,0.9990310668945312
1520837268.371784,312,0.9989242553710938
1520837268.523384,313,0.9990310668945312
1520837268.676727,314,0.9990005493164062
1520837269.660822,316,0.9987945556640625
1520837270.117435,319,0.9963531494140625
1520837272.655345,325,0.998809814453125
1520837273.109845,328,0.9928665161132812
1520837274.318969,330,0.9981842041015625
1520837274.474014,331,0.99871826171875
1520837274.924646,334,0.9984054565429688
1520837275.779457,335,0.9979171752929688
1520837276.239559,338,0.9992294311523438
1520837276.393329,339,0.9830780029296875
1520837277.774149,340,0.9786453247070312
1520837277.940301,341,0.9974822998046875
1520837278.09182,342,0.9883041381835938
1520837278.401535,344,0.9896240234375
1520837279.382439,345,0.9986801147460938
1520837279.683579,347,0.9984512329101562
1520837279.832371,348,0.9950180053710938
1520837280.759454,350,0.9984283447265625
1520837282.425849,356,0.99945068359375
1520837282.577225,357,0.9976730346679688
1520837282.879594,359,0.9944076538085938
1520837283.879193,360,0.997711181640625
1520837284.1827,362,0.99395751953125
1520837284.486056,364,0.9995574951171875
1520837285.709115,366,0.9993667602539062
1520837285.858939,367,0.99853515625
1520837286.008562,368,0.9986648559570312
1520837286.159748,369,0.998291015625
1520837287.283698,371,0.9995803833007812
1520837288.636913,375,0.9991989135742188
1520837289.24853,379,0.9984664916992188
1520837290.269507,380,0.9950485229492188
1520837290.567129,382,0.993896484375
1520837290.715979,383,0.9993133544921875
1520837290.866711,384,0.9988861083984375
1520837291.678278,385,0.9990081787109375
1520837291.828669,386,0.99798583984375
1520837295.160333,397,0.9995498657226562
1520837296.486258,400,0.9994964599609375
1520837296.636669,401,0.99945068359375
1520837296.785522,402,0.9983139038085938
1520837297.086527,404,0.998199462890625
1520837298.192183,405,0.9912109375
1520837298.344884,406,0.9956283569335938
1520837298.790431,409,0.996063232421875
1520837299.89824,411,0.9958877563476562
1520837301.225582,415,0.99920654296875
1520837301.678381,418,0.9933853149414062
1520837303.443163,424,0.9992446899414062
1520837304.29742,425,0.9972381591796875
1520837304.455331,426,0.9995193481445312
1520837304.905353,429,0.995819091796875
1520837306.227066,431,0.9996109008789062
1520837306.534336,433,0.999481201171875
1520837306.68471,434,0.9998245239257812
1520837307.502026,435,0.9935073852539062
1520837307.655732,436,0.9758834838867188
1520837307.954508,438,0.972442626953125
1520837309.055933,440,0.9975967407226562
1520837309.51687,443,0.9967041015625
1520837309.667302,444,0.9947052001953125
1520837311.032408,446,0.9993209838867188
1520837311.183918,447,0.9977264404296875
1520837312.734053,452,0.9957733154296875
1520837314.021092,455,0.9712905883789062
1520837314.168031,456,0.9982833862304688
1520837314.318607,457,0.9937057495117188
1520837315.604261,460,0.9912033081054688
1520837317.41336,465,0.9991531372070312
1520837317.565468,466,0.9995193481445312
1520837317.716519,467,0.9972381591796875
1520837319.030741,471,0.9996185302734375
1520837319.17893,472,0.9991226196289062
1520837319.32772,473,0.9960556030273438
1520837320.757197,476,0.997100830078125
1520837320.913582,477,0.999755859375
1520837321.067151,478,0.9905014038085938
1520837322.357733,481,0.999237060546875
1520837322.506573,482,0.9975814819335938
1520837322.656713,483,0.9979019165039062
1520837323.745024,486,0.9983062744140625
1520837323.897375,487,0.9771499633789062
1520837324.050005,488,0.9989471435546875
1520837325.717769,493,0.998809814453125
1520837326.794236,496,0.999298095703125
1520837327.098615,498,0.999481201171875
1520837327.25012,499,0.9887924194335938
1520837328.279201,500,0.9948196411132812
1520837328.74172,503,0.9976730346679688
1520837328.894542,504,0.9993057250976562
1520837329.962146,506,0.995025634765625
1520837330.412314,509,0.996551513671875
1520837331.554727,512,0.9600906372070312
1520837331.706446,513,0.9983367919921875
1520837331.8571,514,0.9981307983398438
1520837333.162438,517,0.9936904907226562
1520837333.315564,518,0.9980010986328125
1520837333.470244,519,0.9941940307617188
1520837334.257257,520,0.9985275268554688
1520837334.405926,521,0.9802017211914062
1520837334.552492,522,0.9989013671875
1520837334.702039,523,0.9965972900390625
1520837334.852771,524,0.9997024536132812
1520837335.782133,525,0.9990463256835938
1520837337.194261,530,0.99822998046875
1520837337.345783,531,0.993896484375
1520837337.808063,534,0.99945068359375
1520837338.889375,536,0.9987335205078125
1520837339.342223,539,0.996002197265625
1520837340.569497,541,0.984100341796875
1520837340.871779,543,0.9949417114257812
1520837342.29373,548,0.99920654296875
1520837342.444632,549,0.999481201171875
1520837343.239041,550,0.996490478515625
1520837343.391736,551,0.9983444213867188
1520837343.542913,552,0.9906539916992188
1520837343.694737,553,0.9975814819335938
1520837345.452964,559,0.9991989135742188
1520837346.534202,562,0.999481201171875
1520837346.688375,563,0.999542236328125
1520837347.965548,566,0.9995498657226562
1520837349.518998,571,0.9993820190429688
1520837349.818201,573,0.99603271484375
1520837351.131166,576,0.998870849609375
1520837351.280028,577,0.998046875
1520837351.574987,579,0.9963607788085938
1520837352.508539,580,0.983673095703125
1520837353.877423,585,0.9992446899414062
1520837354.030376,586,0.9925079345703125
1520837354.330379,588,0.9996185302734375
1520837355.708544,592,0.99884033203125
1520837356.008194,594,0.999114990234375
1520837357.078241,597,0.992218017578125
1520837357.379228,599,0.9988555908203125
1520837358.623029,601,0.9975433349609375
1520837358.774698,602,0.9984817504882812
1520837359.985552,605,0.9959487915039062
1520837360.138609,606,0.9993743896484375
1520837360.292578,607,0.9963836669921875
1520837361.601782,611,0.9994125366210938
1520837361.752673,612,0.9996185302734375
1520837362.055558,614,0.9989700317382812
1520837363.074902,615,0.9993820190429688
1520837365.090854,622,0.99896240234375
1520837366.779315,627,0.99896240234375
1520837366.932265,628,0.9842147827148438
